Country,CountryCode,Continent,C,C_Test,Html,Html_test,Java,Java_test,PHP,PHP_test
Bahrain,BHR,AS,2.505675355,0.143181449,2.362493906,0,1.78976811,0.143181449,2.577266079,0
Bahamas  The,BHS,NA,1.273178209,0,2.291720777,0,1.018542567,0,1.527813851,0
Bosnia and Herzegovina,BIH,EU,12.04586687,0.447117329,19.59425943,0.683826504,10.83601998,0.368214271,19.12084109,0.604923446
Belarus,BLR,EU,15.36673283,1.676946136,18.66789094,1.339447542,13.6581462,2.278115505,14.17494092,1.455462684
Belize,BLZ,NA,4.632884761,0,3.542794229,0.272522633,2.180181064,0,2.452703697,0.272522633
Bermuda,BMU,NA,8.108721741,0,1.621744348,0,1.621744348,0,4.865233045,0
Bolivia,BOL,SA,2.415414126,0.055104505,2.810329744,0.15612943,2.185812023,0.055104505,4.00426068,0.101024925
Brazil,BRA,SA,1.09129298,0.027675992,0.86415898,0.024335786,1.231581628,0.063463912,1.164300338,0.063941084
Barbados,BRB,NA,3.508698062,0,6.315656512,0,2.80695845,0,7.719135737,0
Brunei Darussalam,BRN,AS,0.932674865,0,0.699506149,0,1.399012297,0,1.632181014,0
Bhutan,BTN,AS,2.16808251,0,11.09548108,0.637671326,4.718767815,0,5.101370611,0
Botswana,BWA,AF,0.434061689,0,0.39065552,0,0.217030844,0,0.347249351,0
Central African Republic,CAF,AF,0.02000603,0,0.02000603,0,0,0,0.02000603,0
Canada,CAN,NA,9.287231699,0.217712553,9.780529762,0.407866555,7.619939361,0.322435047,10.29311881,0.65864937
Switzerland,CHE,EU,6.193703975,0.143207028,2.673197862,0.501224599,5.131585181,0.381885409,5.453800995,0.525092437
Channel Islands,CHI,EU,0.973709834,0,0.973709834,0,0.973709834,0,2.921129503,0
Chile,CHL,SA,0.634243058,0.011030314,0.590121802,0.016545471,0.645273373,0.027575785,0.937576695,0.071697041
China,CHN,AS,0.154450117,0.003472415,0.084857137,0.003978809,0.13918596,0.006655462,0.112564113,0.00694483
Cameroon,CMR,AF,0.263329411,0,0.246610083,0.008359664,0.430522688,0.02089916,0.530838654,0.004179832
Congo  Dem. Rep.,COD,AF,0.003763047,0,0,0,0.003763047,0.001254349,0.005017396,0
Congo  Rep.,COG,AF,0.10546316,0,0.063277896,0,0.126555793,0.042185264,0.126555793,0
Colombia,COL,SA,1.0029927,0.022608442,1.097537094,0.032885007,1.381170275,0.080157203,1.502433737,0.053438136
Comoros,COM,AF,0,0,0.123897621,0,0.123897621,0,0,0
Cabo Verde,CPV,AF,0.189755841,0,0,0,0.189755841,0,0.569267523,0
Costa Rica,CRI,NA,4.179347108,0.164703334,4.405814192,0.082351667,4.076407524,0.144115418,4.096995441,0.123527501
Curacao,CUW,NA,0,0,1.260755823,0,0,0,0.630377912,0
Cayman Islands,CYM,NA,1.645711276,1.645711276,4.937133829,0,1.645711276,0,3.291422553,0
Cyprus,CYP,EU,6.119337276,0.424953977,6.544291253,0.424953977,4.589502957,0.424953977,7.649171595,0.254972386
Czech Republic,CZE,EU,4.436835672,0.312853797,4.161903547,0.587785922,3.403470098,0.369736306,5.299553719,0.663629267
Germany,DEU,EU,2.142971763,0.095435989,1.790974088,0.138815985,1.931029501,0.117745701,2.340040885,0.178477695
Dominica,DMA,NA,5.478251342,0,6.847814178,0,4.108688507,0,6.847814178,0
Denmark,DNK,EU,8.136010192,0.386592277,5.798884154,0.210868515,5.974607916,0.439309406,7.345253262,0.456881782
Dominican Republic,DOM,NA,2.150514814,0.103299838,1.868787982,0.065736261,1.587061151,0.056345366,2.150514814,0.093908944
Algeria,DZA,AF,0.755400108,0.012383608,0.847038809,0.01486033,0.695958788,0.012383608,1.047653264,0.027243938
Ecuador,ECU,SA,0.518752918,0.006102976,0.372281506,0.006102976,0.54316482,0.036617853,0.683533257,0.024411902
Egypt  Arab Rep.,EGY,AF,3.254319652,0.092093284,3.64410983,0.07495965,2.430834356,0.08995158,2.757444259,0.088880728
Eritrea,ERI,AF,0.056057163,0,0.074742884,0,0.074742884,0,0.074742884,0
Spain,ESP,EU,1.892993588,0.039075556,1.788792106,0.056442469,1.903847909,0.086834568,2.54425285,0.138935309
Estonia,EST,EU,8.631858126,0.15277625,14.20819125,0.45832875,10.00684438,0.9166575,18.18037375,1.604150625
Ethiopia,ETH,AF,0.113889326,0.005890827,0.089344212,0.000981805,0.105053085,0.001963609,0.118798348,0.002945414
Finland,FIN,EU,9.286910127,0.108618832,4.996466267,0.579300437,7.440389985,0.343959634,8.146412392,0.760331823
Fiji,FJI,OC,1.225576216,0,0.334248059,0,1.002744177,0,1.448408255,0
France,FRA,EU,1.804598367,0.055668844,1.354608543,0.077317839,1.555634925,0.106698618,2.072118091,0.162367462
Faroe Islands,FRO,EU,171.7032967,0,34.34065934,34.34065934,68.68131868,0,34.34065934,34.34065934
Gabon,GAB,AF,0,0,0,0,0.056716929,0,0.056716929,0
United Kingdom,GBR,EU,5.155799523,0.165870226,7.038733754,0.231911149,3.79044183,0.136689353,6.958870312,0.314846262
Georgia,GEO,EU,8.392421593,1.055334452,8.995469851,0.552794237,4.397226883,0.527667226,8.61856469,0.904572387
Ghana,GHA,AF,0.24256801,0,0.406658135,0,0.28537413,0.007134353,0.556479553,0.007134353
Gibraltar,GIB,EU,6.177987829,0,9.266981744,3.088993915,6.177987829,3.088993915,6.177987829,0
Guinea,GIN,AF,0.030894897,0,0.015447448,0,0.030894897,0.015447448,0.023171173,0
Gambia  The,GMB,AF,0.145986396,0,0.097324264,0,0.097324264,0,0.145986396,0
Equatorial Guinea,GNQ,AF,0.114997119,0,0.114997119,0,0.114997119,0.114997119,0.114997119,0
Greece,GRC,EU,5.238354757,0.219791109,5.577199383,0.174001294,4.524033654,0.265580923,5.998465675,0.274738886
Grenada,GRD,NA,1.863463993,0,5.59039198,0,0,0,2.79519599,0
Greenland,GRL,NA,3.558972169,0,0,0,0,0,0,0
Guatemala,GTM,NA,0.455827989,0.005997737,0.353866465,0.005997737,0.455827989,0.029988683,0.605771406,0.029988683
Guam,GUM,OC,1.743233349,0,1.743233349,0,0.581077783,0,1.162155566,0
Guyana,GUY,SA,0.519069309,0,1.297673272,0,0.778603963,0.129767327,1.038138617,0.129767327
Hong Kong SAR  China,HKG,AS,6.452273324,0.149736301,2.572741895,0.245023038,4.941297925,0.313084993,5.363282045,0.476433684
Honduras,HND,NA,0.561694785,0,0.366322686,0,0.525062516,0,0.476219491,0.012210756
Croatia,HRV,EU,13.301772,0.544378569,18.03549869,1.254437573,9.585796548,0.970413971,16.14200801,1.254437573
Haiti,HTI,NA,0.046090702,0,0.082963263,0,0.064526983,0,0.092181404,0
Hungary,HUN,EU,4.775326489,0.274912186,4.693871026,0.234184455,4.042227326,0.549824372,6.098977754,0.488732775
Indonesia,IDN,AS,0.377617563,0.010361458,0.84925576,0.032619403,0.513084026,0.015350307,1.261411514,0.054877349
Isle of Man,IMN,EU,5.654765271,0,7.916671379,0,0,0,5.654765271,0
India,IND,AS,3.641011653,0.117048399,5.391386421,0.353330904,3.560517326,0.152848778,5.855736186,0.270123285
Ireland,IRL,EU,7.509557184,0.25456126,9.3975532,0.275774699,8.527802226,0.65761659,8.61265598,0.275774699
Iceland,ISL,EU,15.0703181,0,13.86469266,0,12.96047357,0.301406362,15.97453719,0.301406362
Israel,ISR,AS,7.95853457,0.402809265,5.907869221,0.256333169,5.761393124,0.207507803,5.627123369,0.219714145
Italy,ITA,EU,1.764184427,0.048494169,1.617029707,0.053510807,1.493285966,0.085282849,2.030066251,0.102004976
Jamaica,JAM,NA,8.73950635,0.071342909,10.45173617,0.32104309,7.419662534,0.142685818,9.488606894,0.178357272
Jordan,JOR,AS,2.413588373,0.064534448,2.56847105,0.025813779,2.000567903,0.090348228,2.439402153,0.038720669
Japan,JPN,AS,0.459137859,0.011082638,0.228777312,0.01583234,0.32693782,0.020582042,0.428264796,0.043538935
Kazakhstan,KAZ,AS,1.27132522,0.044804413,1.674564938,0.095209378,1.388936805,0.201619859,1.971394174,0.212820962
Kenya,KEN,AF,1.316361748,0.012698023,2.025334715,0.046559419,1.792537621,0.029628721,2.873985939,0.044443082
Kyrgyz Republic,KGZ,AS,1.47503161,0.182307278,1.673912276,0.099440333,1.010976721,0.132587111,2.403141386,0.248600833
Cambodia,KHM,AS,0.473866544,0.018954662,0.676049603,0.025272882,0.360138574,0.012636441,0.935096648,0.031591103
Kiribati,KIR,OC,0.874087671,0,0,0,0,0,0,0
St. Kitts and Nevis,KNA,NA,3.559795668,0,7.119591335,0,3.559795668,0,3.559795668,0
Korea  Rep.,KOR,AS,0.338587492,0.003960088,0.138603067,0,0.285126309,0.007920175,0.198004381,0.011880263
Kuwait,KWT,AS,1.197860023,0.049910834,0.723707097,0,0.8734396,0,0.773617932,0
Lao PDR,LAO,AS,0.130088502,0,0.086725668,0,0.115634224,0.014454278,0.101179946,0
Lebanon,LBN,AS,1.836960412,0.05009892,1.53636689,0.01669964,1.51966725,0,1.937158252,0.06679856
St. Lucia,LCA,NA,1.073059238,0,4.292236953,0,3.219177715,0,3.755707334,0
Liechtenstein,LIE,EU,0,0,2.647183397,0,2.647183397,0,7.941550191,0
Sri Lanka,LKA,AS,6.693634695,0.144155808,8.274543391,0.230649293,8.01986813,0.201818131,9.249997694,0.129740227
Lesotho,LSO,AF,0.138869023,0,0.231448372,0,0.185158697,0,0.138869023,0
Lithuania,LTU,EU,9.543759188,0.596484949,16.66649123,1.192969899,8.03500314,0.526310249,19.33312983,2.350852447
Luxembourg,LUX,EU,19.60978268,0.1735379,4.685523295,0.520613699,17.52732788,0.3470758,10.75934979,1.214765299
Latvia,LVA,EU,9.305930946,0.40905191,14.36794833,0.971498286,7.874249262,0.511314887,16.46433937,2.045259549
Macao SAR  China,MAC,AS,0.66987537,0,0.502406527,0,0.502406527,0,0.837344212,0
Morocco,MAR,AF,3.061717006,0.06605956,3.104799328,0.083292489,3.452330057,0.13211912,4.776393415,0.109141882
Monaco,MCO,EU,23.7699073,0,21.12880649,0,5.282201622,0,26.41100811,2.641100811
Moldova,MDA,EU,14.27565101,0.246131914,15.23556547,1.378338718,10.09140847,0.566103402,18.16453525,1.94444212
Madagascar,MDG,AF,0.168567587,0.004013514,0.284959493,0.016054056,0.220743269,0.016054056,0.505702762,0.02006757
Maldives,MDV,AS,3.244891999,0.270407667,3.244891999,0,1.892853666,0,5.678560999,0.270407667
Mexico,MEX,NA,0.579171572,0.01554823,0.546520289,0.012438584,0.516978652,0.018657876,0.698892944,0.026431991
Macedonia  FYR,MKD,EU,30.22567866,1.393552752,40.07665501,2.883212591,20.75913065,1.153285036,29.07239362,0.91301732
Mali,MLI,AF,0.005514249,0,0.005514249,0,0.005514249,0,0.005514249,0
Malta,MLT,EU,10.48580246,0.714941077,13.34556677,0.476627385,9.055920308,0.714941077,13.34556677,0.714941077
Myanmar,MMR,AS,0.03678944,0,0.042307856,0,0.042307856,0,0.066220992,0.001839472
Montenegro,MNE,EU,9.583118379,0.958311838,18.20792492,1.597186396,9.423399739,0.798593198,17.728769,1.597186396
Mongolia,MNG,AS,1.164166038,0.066523774,1.230689812,0.166309434,1.064380378,0.033261887,1.895927548,0.133047547
Mozambique,MOZ,AF,0.024346673,0,0.034780961,0.003478096,0.069561922,0.003478096,0.041737153,0
Mauritania,MRT,AF,0.048002346,0,0.096004693,0,0.048002346,0,0.144007039,0
Mauritius,MUS,AF,3.209496352,0.078280399,5.32306712,0.078280399,3.757459144,0.156560798,5.557908316,0.234841196
Malawi,MWI,AF,0.016901574,0,0.050704722,0,0.011267716,0,0.045070864,0
Malaysia,MYS,AS,2.090947977,0.045526083,2.123466608,0.032518631,1.954369727,0.120318935,2.637260979,0.14633384
Namibia,NAM,AF,0.19888774,0,0.278442836,0,0.238665288,0,0.278442836,0
New Caledonia,NCL,OC,0.375331699,0,0,0,0.750663399,0,0.375331699,0
Niger,NER,AF,0.004827353,0,0,0,0.004827353,0,0.004827353,0
Nigeria,NGA,AF,0.133698732,0.00320877,0.238518537,0.001604385,0.165786427,0.004813154,0.32782929,0.012300283
Nicaragua,NIC,NA,0.796743433,0.01626007,0.975604204,0.09756042,0.813003503,0.03252014,1.365845885,0.08130035
Netherlands,NLD,EU,8.27457258,0.241464396,5.765698616,0.636052554,6.761003076,0.459371289,8.733943869,0.765618815
Norway,NOR,EU,20.52368399,0.132777993,6.904455612,0.341429124,17.01455133,0.853572809,14.47280119,0.739763101
Nepal,NPL,AS,2.738233507,0.093585196,5.206109782,0.270357232,2.679309495,0.110915788,6.197419634,0.367408547
New Zealand,NZL,OC,8.981016103,0.481908181,10.47055048,0.65714752,6.702904702,0.153334421,9.550543954,0.394288512
Oman,OMN,AF,0.687510997,0,0.902358184,0.021484719,0.601572123,0.021484719,0.751965154,0
Pakistan,PAK,AS,6.276626851,0.19862415,8.79235988,0.384283277,4.402921752,0.109424793,9.009135062,0.259819057
Panama,PAN,NA,1.102644693,0.025060107,1.152764907,0.050120213,1.20288512,0.050120213,1.854447893,0.07518032
Peru,PER,SA,0.475227956,0.01258882,0.377664601,0.01258882,0.544466466,0.022030435,0.686090691,0.040913665
Philippines,PHL,AS,6.094857598,0.04596571,10.13006017,0.19364278,4.68361249,0.094865402,8.947665623,0.123227224
Palau,PLW,OC,0,0,4.650946468,0,0,0,0,0
Papua New Guinea,PNG,OC,0.025719784,0,0.012859892,0,0.025719784,0,0.012859892,0
Poland,POL,EU,3.897063524,0.171014756,3.586127604,0.393852165,3.295920746,0.318709317,4.702905782,0.697014686
Puerto Rico,PRI,NA,1.358410681,0,1.439915322,0,0.869382836,0,1.195401399,0.054336427
Portugal,PRT,EU,7.783057274,0.252318565,6.201213963,0.252318565,6.162395722,0.475523449,7.375465746,0.320250486
Paraguay,PRY,SA,0.386592381,0,0.416330257,0.014868938,0.654233261,0.029737875,0.669102199,0.014868938
French Polynesia,PYF,OC,1.049923881,0,0.349974627,0,0,0,0.349974627,0
Qatar,QAT,AS,3.054943597,0.130926154,3.054943597,0.087284103,1.832966158,0.043642051,2.400312826,0.043642051
Romania,ROU,EU,11.21679573,0.330361218,13.89065684,0.877521985,8.295163708,0.511027509,14.93335943,1.445330329
Russian Federation,RUS,EU,6.540024392,0.53959907,6.622288849,0.614194807,4.309820999,0.62534931,7.028731043,1.029002878
Rwanda,RWA,AF,0.050493294,0,0.050493294,0,0.08415549,0,0.100986588,0
Saudi Arabia,SAU,AS,0.886249861,0.018657892,0.811618294,0.012438595,0.634368322,0.018657892,0.755644619,0.009328946
Senegal,SEN,AF,0.083389541,0,0.083389541,0.00641458,0.134706182,0,0.160364502,0.00641458
Singapore,SGP,AS,12.11268802,0.228210064,9.163511809,0.315983166,11.39294859,0.649520952,10.58543606,0.702184813
Sierra Leone,SLE,AF,0,0,0.045509005,0,0.015169668,0,0.030339336,0
El Salvador,SLV,NA,1.529345787,0.08134818,1.317840518,0.048808908,1.529345787,0,2.196400864,0.08134818
San Marino,SMR,EU,3.129890454,0,0,0,3.129890454,0,0,0
Somalia,SOM,AF,0.072208598,0,0.072208598,0,0.036104299,0,0.081234673,0
Serbia,SRB,EU,0,0.60140445,28.20927286,1.509184751,13.73017706,0.737571495,24.57815166,1.690740811
Sao Tome and Principe,STP,AF,0,0,0.514429755,0,0.514429755,0,0.514429755,0
Suriname,SUR,SA,0,0,2.00872884,0.182611713,0.365223425,0,1.460893702,0
Slovak Republic,SVK,EU,3.388945187,0.165763623,3.628381532,0.165763623,2.707472514,0.165763623,4.291436025,0.239436345
Slovenia,SVN,EU,9.278221983,0.193296291,11.69442562,0.579888874,8.311740527,0.434916655,13.38576817,1.208101821
Sweden,SWE,EU,13.78421032,0.243609019,6.415037498,0.466917286,11.0233081,0.680075178,10.33308255,0.609022547
Swaziland,SWZ,AF,0.460100471,0,0.306733647,0,0.306733647,0,0.306733647,0
Seychelles,SYC,AF,0,0,3.091954734,1.030651578,1.030651578,0,3.091954734,0
Togo,TGO,AF,0.093372762,0,0.026677932,0,0.093372762,0,0.080033796,0
Thailand,THA,AS,0.456369003,0.014674244,0.585502354,0.030815913,0.363921263,0.008804547,0.723440252,0.046957582
Tajikistan,TJK,AS,0.219160031,0.023069477,0.276833724,0.023069477,0.219160031,0.034604215,0.2999032,0.011534738
Turkmenistan,TKM,AS,0.018386848,0,0.11032109,0,0.036773697,0,0.147094786,0.018386848
Tonga,TON,OC,0,0,0.935322452,0.935322452,0,0,0.935322452,0.935322452
Trinidad and Tobago,TTO,SA,2.344368716,0,3.150245463,0,1.611753493,0,2.857199373,0.219784567
Tunisia,TUN,AF,11.56021598,0.158238698,10.31188847,0.369223628,13.23930438,0.474716093,14.88322863,0.254940124
Turkey,TUR,EU,1.136619647,0.035166133,0.786214253,0.027630533,0.78495832,0.040189866,0.897992318,0.054005132
Tanzania,TZA,AF,0.023569737,0,0.045326418,0.001813057,0.041700304,0,0.063456985,0.003626113
Uganda,UGA,AF,0.168639216,0.002479988,0.218238986,0,0.220718974,0.004959977,0.379438237,0.004959977
Ukraine,UKR,EU,18.71622936,1.443157532,30.99427302,2.946820116,16.26689522,1.723273512,27.40654754,3.569798056
Uruguay,URY,SA,7.258851516,0.319389467,6.155506086,0.261318655,7.491134765,0.377460279,6.242612304,0.348424873
United States,USA,NA,6.000886336,0.164445883,8.088084076,0.238801338,4.956824672,0.177712624,6.413080893,0.255461896
Uzbekistan,UZB,AS,0.442237715,0.049504222,0.570948692,0.039603377,0.382832649,0.019801689,0.603951506,0.029702533
St. Vincent and the Grenadines,VCT,NA,0.909165295,0,3.636661181,0,0.909165295,0,2.727495886,0
Venezuela  RB,VEN,SA,2.0971574,0.022208929,2.185993114,0.053935969,2.33828291,0.082490306,3.461420156,0.088835714
British Virgin Islands,VGB,NA,6.523369973,0,3.261684986,0,3.261684986,0,0,0
Virgin Islands (U.S.),VIR,NA,6.578020016,0,2.819151435,0,6.578020016,0,8.457454306,0
Vietnam,VNM,AS,1.677180812,0.046588356,1.802122311,0.059294271,1.544827528,0.083647275,2.155770286,0.109059106
Vanuatu,VUT,OC,0.739453544,0,0.369726772,0,0.369726772,0,0.739453544,0
Samoa,WSM,OC,4.112624214,0,2.570390134,0.514078027,4.626702241,0,3.598546187,0.514078027
Yemen  Rep.,YEM,AS,0.080065217,0,0.076425889,0.007278656,0.043671936,0,0.058229249,0.003639328
South Africa,ZAF,AF,1.109516419,0.027283191,1.227743578,0.023645432,0.836684512,0.030920949,1.113154177,0.040015346
Zambia,ZMB,AF,0.113654499,0,0.131599947,0,0.095709052,0,0.131599947,0.005981816
